Strain,Type,Rating,Effects,Flavor,Breeders,LOCATION
1024,sativa,4.4,"Uplifted,Happy,Relaxed,Energetic,Creative","Spicy/Herbal,Sage,Woody",Medical Seeds Co,Spain
100-Og,hybrid,4,"Creative,Energetic,Tingly,Euphoric,Relaxed","Earthy,Sweet,Citrus",,
13-Dawgs,hybrid,4.2,"Tingly,Creative,Hungry,Relaxed,Uplifted","Apricot,Citrus,Grapefruit",Canadian LP Delta 9 BioTech,Canada
24K-Gold,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Citrus,Earthy,Orange",,Los Angeles
3-Bears-Og,indica,0,None,None,Mephisto Genetics ,
3-Kings,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Sweet,Pungent",,
303-Og,indica,4.2,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Citrus,Pungent,Earthy",,Colorado
3D-Cbd,sativa,4.6,"Uplifted,Focused,Happy,Talkative,Relaxed","Earthy,Woody,Flowery",3D CBD,
3Rd-Coast-Panama-Chunk,hybrid,4.7,"Energetic,Happy,Talkative,Uplifted","Pine,Diesel",Bedford Grow,
3X-Crazy,indica,4.4,"Relaxed,Tingly,Happy,Euphoric,Uplifted","Earthy,Grape,Sweet",,
501St-Og,hybrid,4.5,"Relaxed,Euphoric,Sleepy,Happy,Talkative","Earthy,Pine,Skunk",Rare Dankness Seeds,Colorado
5Th-Element,indica,4.4,"Relaxed,Focused,Euphoric,Uplifted,Aroused","Earthy,Woody,Pine",Elemental Seeds,California
707-Headband,hybrid,4.3,"Euphoric,Happy,Uplifted,Talkative,Creative","Earthy,Woody,Pungent",,California
8-Ball-Kush,indica,4.3,"Relaxed,Uplifted,Happy,Creative,Euphoric","Citrus,Earthy,Pine",Barney's Farm,"Amsterdam, Westmont, Illinois"
818-Og,indica,4.7,"Relaxed,Happy,Euphoric,Giggly,Sleepy","Earthy,Diesel,Flowery",,"San Fernando Valley, Los Angeles"
831-Og,indica,5,None,None,831 Organiks,
9-Pound-Hammer,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Sweet,Berry",,
91-Krypt,indica,4.7,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Earthy,Pungent,Berry",DNA Genetics,"Amsterdam,Canada, California"
98-White-Widow,hybrid,4.7,"Relaxed,Aroused,Creative,Happy,Energetic","Flowery,Violet,Diesel",Pua Mana 1st Hawaiian Pakal_l_ Seed Bank,Hawaii
A-10,indica,3.8,"Relaxed,Focused,Happy,Sleepy,Uplifted","Citrus,Pungent,Sweet",,
A-Dub,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Diesel,Pepper,Earthy",,
